1,21,9,9,18,9,12,15,6,12,0
2,21,9,6,12,9,12,15,6,9,0
3,24,3,0,6,6,0,12,6,9,0
4,9,9,9,15,6,9,18,6,12,0
5,9,9,15,9,9,9,18,9,6,0
6,6,9,15,9,9,3,15,9,6,0
7,21,9,3,15,9,12,15,6,9,0
8,9,6,12,9,9,9,18,9,6,0
9,6,9,12,9,9,9,18,9,6,0
10,9,9,15,6,9,9,18,9,6,0
11,9,3,12,3,9,9,18,0,6,0
12,9,3,12,6,9,9,18,9,6,0
13,9,9,6,9,9,0,18,9,6,0
14,9,9,15,9,9,9,18,9,12,0
15,6,6,15,9,9,9,18,9,6,0
16,21,9,6,12,9,12,15,6,9,0
17,21,3,3,15,9,12,15,6,9,0
18,21,9,9,18,9,12,15,6,12,0
19,9,9,6,9,9,0,18,9,6,0
20,9,6,6,9,9,0,18,0,6,0
21,21,9,6,12,9,12,15,6,9,0
22,6,9,15,9,9,6,18,6,6,0
23,9,6,15,9,9,9,18,9,6,0
24,9,3,12,9,9,9,18,0,6,0
25,12,9,15,9,9,0,0,9,9,0
26,9,9,12,9,9,0,18,9,9,0
27,21,9,6,12,9,12,15,6,9,0
28,9,3,9,9,6,0,18,3,6,0
29,15,9,15,6,9,6,18,0,6,0
30,9,9,15,9,9,6,18,3,6,0
31,9,6,15,9,6,9,18,0,6,0
32,12,9,15,9,9,3,18,9,6,0
33,21,9,9,18,9,12,15,6,9,0
34,12,9,0,9,9,9,18,9,6,0
35,6,9,15,9,9,0,18,6,6,0
36,9,0,12,9,9,9,18,9,3,0
37,24,0,0,6,6,0,12,3,9,0
38,9,6,15,9,9,9,18,3,9,0
39,9,6,15,9,9,9,18,3,9,0
40,9,6,15,9,6,9,18,6,9,0
41,9,6,15,9,6,0,18,3,9,0
42,18,0,0,3,0,0,12,0,3,0
43,9,3,12,12,6,0,18,6,9,0
44,24,0,0,12,6,3,12,6,9,0
45,6,6,15,9,9,0,18,3,6,0
46,6,3,9,9,6,0,18,0,9,0
47,6,3,6,9,6,0,18,6,9,0
48,9,3,12,9,6,0,18,3,6,0
49,6,3,6,9,6,0,18,6,6,0
50,6,3,12,9,6,0,18,6,6,0
